id_empleado,nombre,apellido,género,provincia,ciudad,fecha_contratacion,departamento,puesto_trabajo,nivel_educacion,salario,calificacion_desempeno,horas_extra,fecha_nacimiento,fecha_terminacion
00-95758349,Débora,Solé,Mujer,Managua,Managua,2020-07-12,Operaciones,Coordinador de Logística,Licenciatura,53898,Bueno,No,1982-02-02,2021-12-11
00-60185867,Carolina,Alberdi,Mujer,Managua,Tipitapa,2022-09-05,Ventas,Especialista de Ventas,Licenciatura,61534,Bueno,No,2003-12-25,2023-03-04
00-81182864,Darío,Lasa,Hombre,Managua,Tipitapa,2024-10-07,Marketing,Especialista en SEO,Secundaria,78184,Bueno,Sí,1980-06-04,2025-04-05
00-75579548,Noé,Cantón,Mujer,Managua,Managua,2015-04-17,Operaciones,Especialista en Inventario,Licenciatura,56559,Bueno,Sí,1979-11-30,2023-03-13
00-51273847,Fausto,Santiago,Hombre,Managua,Ciudad Sandino,2017-01-02,Atención al Cliente,Especialista de Soporte,Licenciatura,68635,Satisfactorio,No,1960-02-14,2018-12-02
00-20570592,Lorenza,Lago,Hombre,Managua,Managua,2016-12-20,Ventas,Representante de Ventas,Licenciatura,80367,Satisfactorio,Sí,2002-10-09,2017-06-18
00-19289546,María Belén,Escalona,Mujer,Managua,Tipitapa,2024-07-04,Operaciones,Especialista en Inventario,Licenciatura,63169,Bueno,No,1981-11-30,2024-12-31
00-26879290,Curro,Martín,Mujer,Matagalpa,Matagalpa,2016-11-03,Ventas,Consultor de Ventas,Maestría,71142,Necesita Mejora,No,1982-11-26,2019-06-05
00-32162965,Anunciación,Flor,Hombre,Managua,Tipitapa,2017-02-25,Operaciones,Especialista en Inventario,Secundaria,58830,Bueno,Sí,1984-03-21,2018-12-07
00-38427073,María Belén,Cuéllar,Mujer,Rivas,San Jorge,2024-07-15,Atención al Cliente,Representante de Atención al Cliente,Licenciatura,66218,Satisfactorio,No,1970-08-05,2025-01-11
00-36998038,Melania,Abascal,Mujer,Managua,Ciudad Sandino,2022-08-07,Marketing,Especialista en SEO,Secundaria,88887,Bueno,No,1980-09-11,2023-02-03
00-97225156,Amaya,Aliaga,Hombre,Managua,Tipitapa,2018-02-10,Ventas,Consultor de Ventas,Doctorado,72859,Satisfactorio,No,1960-05-30,2023-11-16
00-26240908,Primitivo,Meléndez,Hombre,Managua,Ciudad Sandino,2017-03-29,Operaciones,Coordinador de Logística,Licenciatura,67630,Excelente,Sí,1985-01-20,2018-01-27
00-12823170,Jose Angel,Bermúdez,Hombre,Managua,Ciudad Sandino,2020-02-01,Operaciones,Especialista en Inventario,Licenciatura,61574,Excelente,No,1992-05-31,2024-12-14
00-39557077,Amalia,Bayón,Hombre,Managua,Managua,2015-12-22,TI,Desarrollador de Software,Maestría,103756,Excelente,No,1971-05-24,2023-12-18
00-17901903,Berta,Casas,Hombre,Managua,Ciudad Sandino,2017-02-16,Operaciones,Coordinador de Logística,Licenciatura,63227,Excelente,Sí,1981-08-20,2021-12-29
00-54349361,Aitana,Dalmau,Hombre,Managua,Ciudad Sandino,2016-04-06,Operaciones,Especialista en Inventario,Secundaria,63680,Bueno,No,1992-11-09,2017-10-15
00-99788677,Salud,Rocha,Mujer,Managua,Ciudad Sandino,2019-12-18,Atención al Cliente,Técnico de Mesa de Ayuda,Licenciatura,90880,Satisfactorio,No,1968-01-03,2020-06-15
00-86644106,Úrsula,Font,Mujer,Matagalpa,Matagalpa,2020-09-17,Marketing,Creador de Contenido,Secundaria,52954,Excelente,No,1983-10-24,2022-09-02
00-73481353,Sabas,Perea,Mujer,Managua,Ciudad Sandino,2023-06-09,Operaciones,Especialista en Inventario,Licenciatura,64475,Bueno,Sí,1977-01-03,2023-12-06
00-23009833,Asunción,Sanmiguel,Mujer,Matagalpa,Matiguás,2022-02-14,Ventas,Especialista de Ventas,Doctorado,93238,Satisfactorio,No,1979-11-15,2022-08-13
00-65177213,Jafet,Baró,Mujer,Rivas,San Jorge,2019-05-04,Operaciones,Especialista en Inventario,Secundaria,58713,Bueno,Sí,2003-02-14,2022-12-12
00-97705310,Dionisia,Grau,Mujer,Managua,Tipitapa,2024-08-02,TI,Desarrollador de Software,Licenciatura,91896,Necesita Mejora,No,1970-03-14,2025-01-29
00-64038913,Adrián,Belda,Hombre,Managua,Managua,2022-09-15,Operaciones,Especialista en Inventario,Licenciatura,71608,Excelente,Sí,1973-10-27,2023-03-14
00-35714784,Benigno,Granados,Mujer,Managua,Ciudad Sandino,2017-01-25,Finanzas,Analista Financiero,Licenciatura,71404,Satisfactorio,No,1983-10-17,2017-07-24
00-66623995,Amílcar,Murillo,Hombre,Managua,Ciudad Sandino,2017-01-26,Operaciones,Coordinador de Logística,Licenciatura,59423,Bueno,No,1992-01-15,2021-05-16
00-20117988,Jordán,Lopez,Mujer,Managua,Tipitapa,2019-09-01,Operaciones,Analista de Operaciones,Licenciatura,64183,Necesita Mejora,No,1983-04-22,2020-02-28
00-16789850,Iker,Catalán,Hombre,Managua,Managua,2022-09-21,Operaciones,Analista de Operaciones,Maestría,76824,Bueno,No,1986-11-10,2023-03-20
00-11980765,Sofía,Suárez,Mujer,Managua,Tipitapa,2024-03-29,Finanzas,Contador,Licenciatura,54093,Satisfactorio,No,2002-10-24,2024-09-25
00-64547971,Ainara,Ramírez,Hombre,Managua,Ciudad Sandino,2019-03-11,Finanzas,Contador,Licenciatura,95124,Necesita Mejora,Sí,1964-07-30,2021-03-05
00-63826716,Cleto,Rosa,Mujer,Managua,Ciudad Sandino,2023-05-09,Ventas,Especialista de Ventas,Maestría,68345,Bueno,No,1966-02-21,2023-11-05
00-10289289,Segismundo,Solera,Mujer,Managua,Managua,2024-11-11,Atención al Cliente,Técnico de Mesa de Ayuda,Licenciatura,61403,Bueno,Sí,1978-12-20,2025-05-10
00-71070189,Baltasar,Cabello,Hombre,Managua,Ciudad Sandino,2017-01-23,Operaciones,Especialista en Inventario,Licenciatura,60320,Bueno,No,1989-07-26,2023-08-27
00-84593961,Luisa,Nicolau,Mujer,Managua,Ciudad Sandino,2022-10-19,Operaciones,Especialista en Inventario,Secundaria,55060,Excelente,No,1966-03-28,2023-04-17
00-35487660,César,Ibarra,Hombre,Managua,Ciudad Sandino,2017-03-11,Operaciones,Gerente de Operaciones,Maestría,82834,Bueno,No,1963-11-06,2018-05-06
00-82772208,Brunilda,Sanabria,Mujer,Managua,Tipitapa,2016-02-21,Finanzas,Analista Financiero,Doctorado,76564,Satisfactorio,Sí,1989-07-28,2016-11-17
00-16729990,Gervasio,Lopez,Hombre,Managua,Ciudad Sandino,2020-06-17,Finanzas,Contador,Licenciatura,63056,Bueno,No,1991-12-30,2024-07-30
00-81286543,Sandra,Benet,Hombre,Managua,Ciudad Sandino,2017-06-11,Finanzas,Contador,Licenciatura,78616,Satisfactorio,No,1984-10-01,2017-12-08
00-34941004,Rosalva,Cabañas,Hombre,Managua,Tipitapa,2016-01-19,Operaciones,Especialista en Inventario,Secundaria,57716,Bueno,No,1960-01-14,2016-07-17
00-41568532,Calixta,Alcolea,Mujer,Managua,Tipitapa,2019-12-19,Operaciones,Coordinador de Logística,Licenciatura,61198,Satisfactorio,No,1982-08-03,2020-06-16
00-87701200,Ángeles,Guzmán,Hombre,Managua,Managua,2020-03-01,TI,Especialista de Soporte TI,Licenciatura,58331,Excelente,No,2002-04-22,2020-08-28
00-66267415,Amalia,Teruel,Mujer,Chinandega,El Realejo,2022-03-19,Operaciones,Coordinador de Logística,Licenciatura,62398,Bueno,No,1965-11-26,2024-11-06
00-52462441,Salvador,Barral,Hombre,Managua,Ciudad Sandino,2024-03-01,Ventas,Consultor de Ventas,Licenciatura,94930,Excelente,Sí,1984-11-23,2024-08-28
00-52169044,Abilio,Portero,Mujer,Managua,Tipitapa,2017-04-07,Atención al Cliente,Representante de Atención al Cliente,Licenciatura,59179,Bueno,Sí,1999-02-02,2021-03-06
00-96637649,Miguela,Sanz,Hombre,Estelí,Condega,2017-04-14,Operaciones,Coordinador de Logística,Licenciatura,74555,Bueno,Sí,1975-11-10,2024-02-06
00-19736572,Josefina,Torrecilla,Hombre,Managua,Tipitapa,2015-02-26,Ventas,Gerente de Ventas,Doctorado,74371,Bueno,No,1989-09-30,2017-09-29
00-23419256,Manu,Gelabert,Mujer,Managua,Ciudad Sandino,2016-12-19,Marketing,Especialista en SEO,Licenciatura,81253,Excelente,No,1991-09-05,2017-06-17
00-45594597,Cruz,Barrera,Mujer,Managua,Ciudad Sandino,2017-09-30,Atención al Cliente,Representante de Atención al Cliente,Secundaria,56922,Bueno,No,1989-06-16,2020-03-10
00-42787299,Baudelio,Ayllón,Mujer,Managua,Tipitapa,2018-08-01,Marketing,Creador de Contenido,Licenciatura,65108,Satisfactorio,Sí,1983-06-23,2020-03-12
00-82909480,Ani,Criado,Mujer,Managua,Tipitapa,2022-01-21,Operaciones,Coordinador de Logística,Licenciatura,61958,Bueno,No,1976-07-27,2022-07-20
00-97775215,Apolonia,Bernat,Mujer,Managua,Ciudad Sandino,2020-11-06,Atención al Cliente,Especialista de Soporte,Licenciatura,55038,Bueno,No,1998-10-31,2022-07-30
00-84437458,Bruno,Bayo,Mujer,Managua,Tipitapa,2017-09-03,RRHH,Coordinador de RRHH,Maestría,63666,Excelente,No,2001-12-04,2023-04-20
00-28024248,Joel,Quintanilla,Mujer,Managua,Ciudad Sandino,2017-02-13,Atención al Cliente,Técnico de Mesa de Ayuda,Secundaria,58264,Excelente,No,1980-04-02,2021-02-11
00-84252420,Tania,Hoz,Hombre,Managua,Managua,2017-07-30,Ventas,Representante de Ventas,Licenciatura,65128,Satisfactorio,No,2002-12-05,2022-09-27
00-38270233,Aníbal,Bilbao,Hombre,Managua,Ciudad Sandino,2022-06-02,Ventas,Consultor de Ventas,Maestría,69316,Bueno,No,1968-04-17,2022-11-29
00-95125977,Dalila,Yáñez,Hombre,Managua,Managua,2023-04-26,Operaciones,Especialista en Inventario,Secundaria,56431,Bueno,No,1992-11-29,2023-10-23
00-43704923,Juan Carlos,Fuente,Hombre,Managua,Tipitapa,2023-09-01,Ventas,Representante de Ventas,Licenciatura,79043,Bueno,No,1998-05-12,2024-02-28
00-95132217,Mauricio,Gómez,Mujer,Managua,Ciudad Sandino,2019-04-07,Marketing,Coordinador de Marketing,Licenciatura,59137,Bueno,No,1989-01-30,2024-09-03
00-10475894,Eleuterio,Marín,Hombre,Managua,Tipitapa,2018-06-16,TI,Desarrollador de Software,Licenciatura,89897,Bueno,No,1983-03-27,2019-07-16
00-45159040,Úrsula,Belmonte,Mujer,Managua,Managua,2017-01-04,TI,Desarrollador de Software,Licenciatura,80501,Bueno,No,1985-09-03,2021-02-02
00-67403166,Ester,Cabo,Hombre,Rivas,Rivas,2020-01-27,Operaciones,Analista de Operaciones,Maestría,83772,Satisfactorio,Sí,1983-11-01,2020-11-22
00-30005727,Ignacio,Velasco,Hombre,Managua,Managua,2020-04-06,Operaciones,Analista de Operaciones,Maestría,55106,Excelente,No,1982-12-07,2020-10-03
00-84158663,Paco,Bayona,Hombre,Managua,Managua,2017-11-17,TI,Desarrollador de Software,Licenciatura,88492,Bueno,No,1987-12-18,2018-05-16
00-51373735,Rafael,López,Hombre,Managua,Tipitapa,2018-02-27,Atención al Cliente,Técnico de Mesa de Ayuda,Secundaria,82441,Satisfactorio,No,1977-04-26,2021-04-25
00-38195995,Perla,Mate,Hombre,Rivas,San Juan del Sur,2022-08-11,Finanzas,Contador,Licenciatura,85555,Bueno,Sí,1963-01-20,2023-02-07
00-57469942,Noemí,Ángel,Mujer,Managua,Ciudad Sandino,2023-01-03,Ventas,Consultor de Ventas,Licenciatura,64372,Satisfactorio,No,1990-07-30,2023-07-02
00-30743797,Olga,Marí,Mujer,Rivas,San Jorge,2024-12-06,Atención al Cliente,Representante de Atención al Cliente,Licenciatura,63278,Bueno,No,1971-05-25,2025-06-04
00-31810617,Cristóbal,Cañizares,Hombre,León,León,2024-04-06,Marketing,Creador de Contenido,Licenciatura,65358,Necesita Mejora,No,1998-01-19,2024-10-03
00-13326769,Tania,Campo,Hombre,Rivas,San Jorge,2017-09-28,TI,Administrador de Sistemas,Licenciatura,77267,Bueno,Sí,1983-12-08,2018-03-27
00-65259205,Fabricio,Lladó,Mujer,Managua,Managua,2023-04-13,Ventas,Representante de Ventas,Licenciatura,51865,Bueno,Sí,2001-11-26,2023-10-10
00-43308443,Humberto,Novoa,Hombre,Managua,Tipitapa,2017-03-16,TI,Administrador de Sistemas,Maestría,92780,Bueno,No,1971-02-12,2024-12-19
00-61343880,Fabiana,Laguna,Mujer,Matagalpa,Matiguás,2023-07-03,Atención al Cliente,Representante de Atención al Cliente,Licenciatura,52588,Bueno,No,1992-06-28,2023-12-30
00-36786211,José,Azcona,Mujer,Rivas,Rivas,2023-02-03,Operaciones,Especialista en Inventario,Licenciatura,64186,Bueno,No,1973-01-06,2023-08-02
00-50962024,Teo,Lloret,Hombre,Managua,Ciudad Sandino,2023-01-17,Operaciones,Especialista en Inventario,Secundaria,61124,Satisfactorio,No,1979-02-28,2023-07-16
00-13176186,Nazario,Castrillo,Mujer,Managua,Ciudad Sandino,2022-08-20,RRHH,Reclutador,Secundaria,65797,Bueno,No,1983-07-06,2023-02-16
00-47393469,Juan Francisco,Cuéllar,Mujer,Masaya,Nindirí,2023-09-27,Ventas,Gerente de Ventas,Maestría,114050,Satisfactorio,Sí,2000-11-22,2024-03-25
00-96098221,Carmen,Roma,Mujer,Managua,Ciudad Sandino,2020-07-23,Atención al Cliente,Técnico de Mesa de Ayuda,Secundaria,64313,Excelente,Sí,1976-04-20,2021-01-19
00-81969657,Dani,Benet,Hombre,Rivas,San Jorge,2018-12-10,Atención al Cliente,Especialista de Soporte,Licenciatura,63557,Satisfactorio,No,1990-02-23,2022-04-07
00-45059710,Jessica,Company,Hombre,Rivas,Rivas,2017-07-18,Operaciones,Especialista en Inventario,Secundaria,59128,Satisfactorio,No,1985-11-29,2019-06-12
00-24549543,Perlita,Peiró,Mujer,Managua,Ciudad Sandino,2020-07-31,Atención al Cliente,Especialista de Soporte,Secundaria,54770,Necesita Mejora,Sí,1988-11-22,2021-01-27
00-52101056,Eusebio,Ropero,Hombre,Managua,Tipitapa,2019-02-16,Atención al Cliente,Especialista de Soporte,Licenciatura,64438,Satisfactorio,No,2000-10-09,2019-08-15
00-61700055,Mario,Pastor,Mujer,Managua,Ciudad Sandino,2023-11-24,RRHH,Reclutador,Secundaria,58119,Bueno,Sí,1971-07-12,2024-05-22
00-15957459,Natividad,Ariño,Mujer,Estelí,Pueblo Nuevo,2022-11-24,Atención al Cliente,Técnico de Mesa de Ayuda,Secundaria,82922,Satisfactorio,No,1976-09-01,2023-05-23
00-82269803,Humberto,Iborra,Mujer,Managua,Tipitapa,2022-08-31,Marketing,Coordinador de Marketing,Licenciatura,74811,Satisfactorio,No,1971-12-19,2023-02-27
00-36445607,Paulino,Ramos,Hombre,Estelí,Condega,2018-12-21,Finanzas,Analista Financiero,Doctorado,93475,Bueno,No,1983-06-20,2021-08-25
00-54318698,Maribel,Cortes,Hombre,Chinandega,Corinto,2021-12-03,Atención al Cliente,Representante de Atención al Cliente,Secundaria,59676,Bueno,No,2002-05-10,2022-06-01
00-26726926,Jordi,Cámara,Hombre,Managua,Ciudad Sandino,2022-12-22,Ventas,Representante de Ventas,Licenciatura,77283,Necesita Mejora,Sí,1968-03-11,2023-06-20
00-51511484,Obdulia,Elorza,Hombre,Managua,Tipitapa,2022-11-17,Marketing,Creador de Contenido,Licenciatura,62224,Satisfactorio,No,1980-08-16,2023-05-16
00-49682169,Amador,Escobar,Hombre,Managua,Managua,2020-09-25,Operaciones,Coordinador de Logística,Licenciatura,68683,Necesita Mejora,Sí,1997-07-16,2021-03-24
00-99245317,Nazaret,Requena,Mujer,Managua,Ciudad Sandino,2024-10-19,Atención al Cliente,Representante de Atención al Cliente,Secundaria,63830,Bueno,Sí,1966-12-30,2025-04-17
00-33357554,Rosario,Hurtado,Hombre,Managua,Managua,2021-04-08,Ventas,Especialista de Ventas,Maestría,75850,Bueno,No,1999-04-17,2021-10-05
00-83542887,Mirta,Campoy,Hombre,Managua,Managua,2023-05-20,Atención al Cliente,Técnico de Mesa de Ayuda,Secundaria,82965,Excelente,Sí,1996-05-10,2023-11-16
00-38210242,Antonio,Sosa,Mujer,Managua,Tipitapa,2019-03-22,Operaciones,Coordinador de Logística,Licenciatura,54011,Bueno,No,1974-01-29,2019-09-18
00-97873101,Olga,Seguí,Hombre,Managua,Ciudad Sandino,2018-05-08,Ventas,Representante de Ventas,Licenciatura,80131,Bueno,Sí,1979-05-04,2022-02-04
00-38682516,Otilia,Goñi,Mujer,Managua,Tipitapa,2020-03-22,Operaciones,Especialista en Inventario,Licenciatura,55778,Bueno,No,2000-07-19,2020-09-18
00-98429450,Georgina,Ferrando,Hombre,Managua,Managua,2016-05-25,Ventas,Consultor de Ventas,Doctorado,88444,Bueno,No,1966-01-28,2021-10-20
00-94951883,León,Baños,Mujer,Managua,Managua,2021-12-18,Ventas,Representante de Ventas,Licenciatura,75303,Bueno,No,1970-07-21,2022-06-16
00-41523529,León,Ortega,Mujer,Estelí,Condega,2022-08-22,TI,Desarrollador de Software,Maestría,98297,Bueno,Sí,1999-10-23,2023-02-18
00-36726767,Salomón,Muñoz,Hombre,Masaya,Masaya,2017-12-08,Ventas,Representante de Ventas,Licenciatura,65506,Bueno,Sí,1999-05-29,2024-04-01
00-73771720,David,Julián,Hombre,Managua,Tipitapa,2021-03-06,Finanzas,Analista Financiero,Doctorado,86731,Satisfactorio,No,1992-09-19,2021-09-02
00-65625330,Juan Manuel,Arenas,Hombre,Managua,Ciudad Sandino,2023-02-09,Ventas,Representante de Ventas,Licenciatura,78643,Satisfactorio,Sí,1974-09-13,2023-08-08
00-61536717,Toño,Ojeda,Mujer,Rivas,San Juan del Sur,2020-09-22,Atención al Cliente,Representante de Atención al Cliente,Licenciatura,64159,Bueno,No,1976-02-14,2021-03-21
00-98054615,Mauricio,Rubio,Hombre,Managua,Managua,2022-08-09,Ventas,Representante de Ventas,Licenciatura,66358,Bueno,No,1982-07-14,2023-02-05
00-67062156,Ariadna,Carlos,Mujer,Rivas,San Juan del Sur,2017-05-21,Operaciones,Especialista en Inventario,Licenciatura,57185,Bueno,No,1983-04-13,2021-11-22
00-72350830,Corona,Falcón,Mujer,Managua,Ciudad Sandino,2016-04-02,TI,Especialista de Soporte TI,Licenciatura,57924,Excelente,Sí,1993-10-14,2018-07-25
00-26288475,Leandra,Rubio,Mujer,Managua,Ciudad Sandino,2019-01-01,Operaciones,Especialista en Inventario,Licenciatura,57730,Satisfactorio,No,1972-03-16,2024-08-20
00-81287314,Ángela,Figueras,Mujer,Managua,Tipitapa,2024-05-12,Operaciones,Especialista en Inventario,Secundaria,56753,Satisfactorio,No,1976-08-13,2024-11-08
00-69401199,Buenaventura,Murillo,Hombre,Managua,Tipitapa,2021-08-15,Ventas,Representante de Ventas,Licenciatura,62015,Bueno,No,1976-09-05,2022-02-11
00-67276174,Gracia,Casanovas,Hombre,Managua,Managua,2023-09-19,Operaciones,Analista de Operaciones,Licenciatura,82241,Necesita Mejora,No,1997-02-01,2024-03-17
00-31361812,Marcelo,Vendrell,Mujer,Managua,Tipitapa,2022-04-23,Ventas,Consultor de Ventas,Doctorado,87980,Bueno,No,1982-12-18,2022-10-20
00-44788100,Sebastian,Morera,Mujer,Managua,Ciudad Sandino,2022-05-27,Ventas,Representante de Ventas,Licenciatura,68240,Bueno,No,1987-05-11,2022-11-23
00-79967676,Manolo,Castejón,Hombre,Managua,Managua,2019-03-11,Operaciones,Gerente de Operaciones,Licenciatura,109148,Bueno,No,1984-10-12,2020-08-24
00-69038700,Graciana,Pinilla,Mujer,Managua,Tipitapa,2016-09-04,Operaciones,Analista de Operaciones,Licenciatura,77304,Satisfactorio,No,2002-08-20,2017-10-26
00-46468984,Vanesa,Dávila,Hombre,Managua,Ciudad Sandino,2018-08-13,Ventas,Especialista de Ventas,Licenciatura,71634,Satisfactorio,Sí,1981-02-19,2024-05-13
00-28572252,Marcial,Ramis,Hombre,Managua,Ciudad Sandino,2017-07-19,TI,Especialista de Soporte TI,Licenciatura,73488,Satisfactorio,No,1988-10-28,2022-11-06
00-30509175,Aarón,Mateu,Hombre,Managua,Ciudad Sandino,2022-04-15,Operaciones,Especialista en Inventario,Secundaria,61678,Bueno,No,1983-03-11,2022-10-12
00-64707061,Tito,Montserrat,Mujer,Managua,Ciudad Sandino,2018-06-19,TI,Desarrollador de Software,Licenciatura,94594,Satisfactorio,No,1992-09-17,2018-12-16
